timestamp,offer,want,row_count
2026-02-08 15:35:48,Doot,"Slug, Ram, Molti",2
2026-02-08 15:35:48,Doot,"Slug, Ram, Molti",2
2026-02-08 15:36:51,CrystalCattle,Slug,1
2026-02-08 15:37:35,CrystalCattle,Slug,2
2026-02-08 15:37:35,"CrystalCattle, Ram",Slug,2
2026-02-08 15:41:52,Slug,Ram,1
2026-02-08 15:47:38,"Bean, Sheepie",Doot,1
2026-02-08 15:51:26,"Ram, Sheepie",Doot,1
2026-02-08 15:52:03,Doot,"Slug, Ram",1
2026-02-08 16:11:54,Doot,Ram,2
2026-02-08 16:11:54,Sheepie,Ram,2
2026-02-08 16:12:16,Doot,Ram,1
2026-02-08 16:12:51,Doot,Ram,4
2026-02-08 16:12:51,Molti,"CrystalCattle, Sheepie",4
2026-02-08 16:12:51,Sheepie,CrystalCattle,4
2026-02-08 16:12:51,"Ram, Sheepie","Molti, Sheepie",4
2026-02-08 16:27:36,Doot,SLUG AND MOLTI AND,1
2026-02-08 16:32:31,King Doot,"Dedotated Ram, Bored Bean",1
2026-02-08 16:34:43,King Doot,Frog,1
2026-02-08 16:44:48,King Doot,Frog,2
2026-02-08 16:44:48,,"Biggole Mole, Sheepie",2
2026-02-08 16:45:00,King Doot,Rift Slug,1
2026-02-08 16:45:08,King Doot,Rift Slug,1
2026-02-08 16:49:15,King Doot,Rift Slug,1
2026-02-08 16:51:38,King Doot,Rift Slug,1
2026-02-08 16:54:55,King Doot,Rift Slug,1
2026-02-08 16:57:44,King Doot,Rift Slug,1
2026-02-08 16:59:01,King Doot,Rift Slug,1
2026-02-08 17:01:57,Rift Slug,Dedotated Ram,2
2026-02-08 17:01:57,Dedotated Ram,Bored Bean,2
2026-02-08 17:06:12,King Doot,Rift Slug,1
2026-02-08 17:06:34,King Doot,Rift Slug,1
2026-02-08 17:14:59,King Doot,Rift Slug,1
2026-02-08 17:15:23,King Doot,Rift Slug,1
2026-02-08 17:17:19,King Doot,Rift Slug,1
2026-02-08 17:18:24,King Doot,Rift Slug,1
2026-02-08 17:19:55,King Doot,Rift Slug,1
2026-02-08 17:20:10,King Doot,Rift Slug,1
2026-02-08 17:20:41,King Doot,Rift Slug,1
2026-02-08 17:21:03,King Doot,Rift Slug,1
2026-02-08 17:21:28,King Doot,Rift Slug,1
2026-02-08 17:22:03,King Doot,Rift Slug,1
2026-02-08 17:22:31,King Doot,Rift Slug,2
2026-02-08 17:22:31,"King Doot, Dedotated Ram","Rift Slug, Crystal Custard",2
2026-02-08 17:29:35,Dedotated Ram,Crystal Custard,1
2026-02-08 17:33:01,King Doot,Rift Slug,1
